Name,Domain,Indicator,Year,Month,NAME,GeogID,Measure,TType,Value,ts,measureName,indicatorName,contentAreaName
MARYVALE VILLAGE,CD,80,2019,ALL,MARYVALE VILLAGE,36,428,ALL,57.02,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
MESA CENTRAL,CD,80,2019,ALL,MESA CENTRAL,67,428,ALL,72.49,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
MESA EAST,CD,80,2019,ALL,MESA EAST,68,428,ALL,51.8,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
MESA GATEWAY,CD,80,2019,ALL,MESA GATEWAY,69,428,ALL,26.12,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
MESA NORTH,CD,80,2019,ALL,MESA NORTH,65,428,ALL,38.58,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
MESA WEST,CD,80,2019,ALL,MESA WEST,66,428,ALL,62.82,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
MORENCI,CD,80,2019,ALL,MORENCI,83,428,ALL,11.07,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
NAVAJO NATION,CD,80,2019,ALL,NAVAJO NATION,8,428,ALL,3.62,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
NEW RIVER/CAVE CREEK,CD,80,2019,ALL,NEW RIVER/CAVE CREEK,50,428,ALL,18,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
NOGALES,CD,80,2019,ALL,NOGALES,126,428,ALL,38.25,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
NORTH GATEWAY/RIO VISTA VILLAGE,CD,80,2019,ALL,NORTH GATEWAY/RIO VISTA VILLAGE,29,428,ALL,25.08,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
NORTH MOUNTAIN VILLAGE,CD,80,2019,ALL,NORTH MOUNTAIN VILLAGE,33,428,ALL,76.71,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
ORO VALLEY,CD,80,2019,ALL,ORO VALLEY,100,428,ALL,30.5,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
PAGE,CD,80,2019,ALL,PAGE,7,428,ALL,71.33,2020-01-29T14:04:16.267,Percent of population living within a half mile of a park,Access to Parks and Public Elementary Schools,Community Design
