source,unit,location_name,location_type,variable_name,variable_desc,collected_on,value,medium
CO School of Mines,,PUMPHOUSE,station,BEZZIA,Diptera Ceratopogonidae Bezzia,2011-11-15 07:00:00,1.6,water
CO School of Mines,,PUMPHOUSE,station,CLINOC,Diptera Empididae Clinocera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,CHELIF,Diptera Empididae Chelifera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,CERATO,Diptera,2011-11-15 07:00:00,0.4,water
CO School of Mines,,PUMPHOUSE,station,PERICO,Diptera Psychodidae Pericoma,2011-11-15 07:00:00,25.8,water
CO School of Mines,,PUMPHOUSE,station,SIMULD,Diptera Simuliidae Simulium,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,ANTOCH,Diptera Tipulidae Antocha,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,DICRAN,Diptera Tipulidae Dicranota,2011-11-15 07:00:00,2.0,water
CO School of Mines,,PUMPHOUSE,station,HEXATO,Diptera Tipulidae Hexatoma,2011-11-15 07:00:00,0.4,water
CO School of Mines,,PUMPHOUSE,station,TIPULA,Diptera Tipulidae Tipula,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,HESPER,Diptera Tipulidae Hesperoconopa,2011-11-15 07:00:00,0.8,water
CO School of Mines,,PUMPHOUSE,station,NEOPLA,Diptera Empididae Neoplasta,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,WIEDEM,Diptera Empididae Wiedemannia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,BIBIOC,Diptera Blephariceridae Bibiocephala,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,RHABDO,Diptera Tipulidae Rhabdomastix,2011-11-15 07:00:00,2.0,water
CO School of Mines,,PUMPHOUSE,station,PROTAN,Diptera Tanyderidae Protanyderus,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,EMPIDID,Diptera,2011-11-15 07:00:00,0.8,water
CO School of Mines,,PUMPHOUSE,station,HEMERO,Diptera Empididae Hemerodromia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,LIMNOP,Diptera Tipulidae Limnophila,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,ORMOSIA,Diptera Tipulidae Ormosia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,DEUTERO,Diptera Deuterophlebiidae Deuterophlebia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,MUSCID,Diptera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,HETCOR,Coleoptera Elmidae Heterlimnius,2011-11-15 07:00:00,55.2,water
CO School of Mines,,PUMPHOUSE,station,NARPUS,Coleoptera Elmidae Narpus,2011-11-15 07:00:00,0.2,water
CO School of Mines,,PUMPHOUSE,station,ZAITZE,Coleoptera Elmidae Zaitzevia,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,HYDRAC,Trombidiformes,2011-11-15 07:00:00,0.8,water
CO School of Mines,,PUMPHOUSE,station,DYTISC,Coleoptera,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,OLIGOC,Oligochaeta (subclass),2011-11-15 07:00:00,28.0,water
CO School of Mines,,PUMPHOUSE,station,POLYCE,Tricladida Planariidae Polycelis,2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,NEMATO,Nematoda (phylum),2011-11-15 07:00:00,0.0,water
CO School of Mines,,PUMPHOUSE,station,COLLUM,Collembola (subclass),2011-11-15 07:00:00,0.0,water
