top5_labid,siteid,stateid,latitude,longitude,colldate,landcover1,landcover2,top5_depth,top5_quartz,top5_tot_k_fs,top5_tot_plag,top5_tot_flds,top5_tot_14a,top5_tot_10a,top5_kaolinit,top5_tot_clay,top5_gibbsite,top5_calcite,top5_dolomite,top5_aragon,top5_tot_carb,top5_analcime,top5_heuland,top5_tot_zeol,top5_gypsum,top5_talc,top5_hornbl,top5_serpent,top5_hematite,top5_goethite,top5_pyroxene,top5_pyrite,top5_other,top5_amorph,top5_ag,top5_al,top5_as,top5_ba,top5_be,top5_bi,top5_c_tot,top5_c_inorg,top5_c_org,top5_ca,top5_cd,top5_ce,top5_co,top5_cr,top5_cs,top5_cu,top5_fe,top5_ga,top5_hg,top5_in,top5_k,top5_la,top5_li,top5_mg,top5_mn,top5_mo,top5_na,top5_nb,top5_ni,top5_p,top5_pb,top5_rb,top5_s,top5_sb,top5_sc,top5_se,top5_sn,top5_sr,top5_te,top5_th,top5_ti,top5_tl,top5_u,top5_v,top5_w,top5_y,top5_zn,geoid,geoid_type
C-319466,8667,CO,38.6556,-106.8551,09/25/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.58,4.2,669,1.9,0.45,,,,0.69,0.4,81,7.8,28,<5,14.7,2.96,13.7,0.01,0.04,2.28,39.4,24,0.45,538,0.73,1.31,10.9,11.6,750,27.2,92.3,0.01,0.65,6.1,<0.2,3.8,182,<0.1,13.5,0.27,0.6,2.6,61,1.4,15.5,83,NA,block_group
C-319503,8683,CO,38.0916,-104.1619,06/04/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.18,5.1,769,2.1,0.27,,,,1.39,1.1,82.7,8.5,31,<5,17.5,2.46,16.8,0.02,0.06,2.4,40.8,22,0.69,516,2.08,1.16,15.1,15.3,970,34.2,119,0.03,0.97,8.2,0.9,1.7,243,<0.1,11.9,0.24,0.8,2.6,81,0.8,24,90,NA,block_group
C-319359,8795,CO,40.8503,-105.4946,09/22/08,Forested Upland,Evergreen Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.49,4.4,637,2.1,0.47,,,,0.74,1.3,92.5,9.1,20,<5,66.3,2.06,17.6,0.06,0.1,2.46,45.6,22,0.46,882,2.31,1.18,16.7,9.8,700,51.5,158,0.07,0.49,6.5,0.4,3.7,130,<0.1,20.4,0.2,0.9,7.8,36,1.1,22.8,204,NA,block_group
C-319369,8859,CO,38.5157,-107.5547,09/26/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,4,7.6,443,1.2,0.22,,,,0.41,0.4,52,5,16,6,14,1.5,9.87,0.02,0.02,1.17,25.9,29,0.32,583,0.69,0.26,9,6.9,580,19.9,65.4,0.05,0.61,4.8,<0.2,1.4,199,<0.1,7.8,0.19,0.5,2.1,29,1,17,106,NA,block_group
C-319402,8875,CO,38.2747,-102.6444,06/19/08,Herbaceous Upland,Grasslands/Herbaceous,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5,4.5,716,1.4,0.22,,,,1.3,0.6,75.1,7.4,22,<5,13,1.83,13.5,0.02,0.04,2.5,37.5,19,0.63,403,0.94,0.72,11.1,15.7,670,25.6,103,0.03,0.76,5.9,0.2,1.4,169,<0.1,14.3,0.22,0.7,2.5,57,0.9,18.6,65,NA,block_group
C-319353,8939,CO,37.1201,-104.6051,06/16/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.93,3.7,652,1.5,0.21,,,,0.53,0.3,72.6,9.8,23,<5,17.9,2.95,15,0.02,0.05,1.95,35.7,20,0.49,459,0.91,1.05,12.4,12.1,570,23.1,79.9,0.02,0.63,7.3,0.3,1.4,150,<0.1,10.5,0.3,0.5,2.8,56,0.9,17.8,72,NA,block_group
C-319456,9115,CO,38.7866,-108.6002,08/11/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,1.79,3.7,383,0.4,0.06,,,,0.58,<0.1,14.4,2.3,7,<5,5,0.61,4.06,<0.01,<0.02,1.4,7.2,13,0.14,143,0.26,0.18,2.6,3.9,150,8.9,50.9,<0.01,0.25,1.5,<0.2,2.1,51.3,<0.1,2.6,0.08,0.3,0.7,14,0.3,5.2,10,NA,block_group
C-319377,9131,CO,39.4752,-105.6852,09/28/08,Forested Upland,Mixed Forest,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.29,2.6,802,2.3,0.33,,,,1.23,0.5,136,14.4,34,<5,23.3,3.38,18.6,0.03,0.07,2.54,70.4,24,0.58,861,2.98,1.67,13,19.4,1280,46.1,142,0.07,0.32,8.1,0.3,3.1,276,0.1,26.3,0.26,0.9,15.6,45,1.3,25.8,161,NA,block_group
C-319390,9243,CO,40.4972,-102.2723,06/23/08,Planted/Cultivated,Small Grains,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,5.07,2.1,735,1.4,0.16,,,,0.76,0.3,58.4,5.6,15,<5,10.8,1.39,13.2,0.01,0.02,2.46,31.1,15,0.37,361,0.63,1.11,10.4,7.4,470,23.7,105,0.02,0.45,4.9,<0.2,1.2,198,<0.1,10.5,0.2,0.6,2.3,32,0.9,16.6,45,NA,block_group
C-319398,9435,CO,38.8651,-106.9132,09/26/08,Shrubland,Shrubland,0-5,,,,,,,,,,,,,,,,,,,,,,,,,,,<1,6.43,6.3,546,1.7,0.32,,,,0.9,1.7,68.6,11,50,9,23.3,2.59,18.9,0.01,0.06,2.27,35,40,0.65,550,2.92,0.85,13.2,22.2,1400,27.9,131,0.03,1.03,9.1,0.6,2,212,<0.1,11.6,0.28,0.9,5.2,104,1.3,20.8,134,NA,block_group
