source,unit,location_name,location_type,variable_name,variable_desc,collected_on,medium,value
USGS,mg/kg,"36.0545,-114.046",point,sr,Concentration of sr,2013-09-18,soil,208.0
USGS,mg/kg,"36.0545,-114.046",point,th,Concentration of th,2013-09-18,soil,19.4
USGS,wt. %,"36.0545,-114.046",point,ti,Concentration of ti,2013-09-18,soil,0.27
USGS,mg/kg,"36.0545,-114.046",point,tl,Concentration of tl,2013-09-18,soil,0.7
USGS,mg/kg,"36.0545,-114.046",point,u,Concentration of u,2013-09-18,soil,2.8
USGS,mg/kg,"36.0545,-114.046",point,v,Concentration of v,2013-09-18,soil,48.0
USGS,mg/kg,"36.0545,-114.046",point,w,Concentration of w,2013-09-18,soil,1.5
USGS,mg/kg,"36.0545,-114.046",point,y,Concentration of y,2013-09-18,soil,29.5
USGS,mg/kg,"36.0545,-114.046",point,zn,Concentration of zn,2013-09-18,soil,44.0
USGS,wt. %,"33.9395,-110.9655",point,al,Concentration of al,2013-09-18,soil,3.14
USGS,mg/kg,"33.9395,-110.9655",point,as,Concentration of as,2013-09-18,soil,5.3
USGS,mg/kg,"33.9395,-110.9655",point,ba,Concentration of ba,2013-09-18,soil,392.0
USGS,mg/kg,"33.9395,-110.9655",point,be,Concentration of be,2013-09-18,soil,1.1
USGS,mg/kg,"33.9395,-110.9655",point,bi,Concentration of bi,2013-09-18,soil,0.34
USGS,wt. %,"33.9395,-110.9655",point,ca,Concentration of ca,2013-09-18,soil,0.43
USGS,mg/kg,"33.9395,-110.9655",point,cd,Concentration of cd,2013-09-18,soil,0.1
USGS,mg/kg,"33.9395,-110.9655",point,ce,Concentration of ce,2013-09-18,soil,64.2
USGS,mg/kg,"33.9395,-110.9655",point,co,Concentration of co,2013-09-18,soil,7.0
USGS,mg/kg,"33.9395,-110.9655",point,cr,Concentration of cr,2013-09-18,soil,35.0
USGS,mg/kg,"33.9395,-110.9655",point,cu,Concentration of cu,2013-09-18,soil,16.0
USGS,wt. %,"33.9395,-110.9655",point,fe,Concentration of fe,2013-09-18,soil,1.77
USGS,mg/kg,"33.9395,-110.9655",point,ga,Concentration of ga,2013-09-18,soil,7.95
USGS,mg/kg,"33.9395,-110.9655",point,hg,Concentration of hg,2013-09-18,soil,0.03
USGS,mg/kg,"33.9395,-110.9655",point,in,Concentration of in,2013-09-18,soil,0.04
USGS,wt. %,"33.9395,-110.9655",point,k,Concentration of k,2013-09-18,soil,1.2
USGS,mg/kg,"33.9395,-110.9655",point,la,Concentration of la,2013-09-18,soil,32.1
USGS,mg/kg,"33.9395,-110.9655",point,li,Concentration of li,2013-09-18,soil,23.0
USGS,wt. %,"33.9395,-110.9655",point,mg,Concentration of mg,2013-09-18,soil,0.32
USGS,mg/kg,"33.9395,-110.9655",point,mn,Concentration of mn,2013-09-18,soil,410.0
USGS,mg/kg,"33.9395,-110.9655",point,mo,Concentration of mo,2013-09-18,soil,0.58
USGS,wt. %,"33.9395,-110.9655",point,na,Concentration of na,2013-09-18,soil,0.48
USGS,mg/kg,"33.9395,-110.9655",point,nb,Concentration of nb,2013-09-18,soil,7.3
USGS,mg/kg,"33.9395,-110.9655",point,ni,Concentration of ni,2013-09-18,soil,11.9
USGS,mg/kg,"33.9395,-110.9655",point,p,Concentration of p,2013-09-18,soil,300.0
