sample,sampleLong,community,type,sampling_year,sampling,units,sample_name,aluminum,aluminumRaw,aluminumIdentifier,arsenic,arsenicRaw,arsenicIdentifier,barium,bariumRaw,bariumIdentifier,berylliumRaw,beryllium,berylliumIdentifier,cadmiumRaw,cadmium,cadmiumIdentifier,chromiumRaw,chromium,chromiumIdentifier,manganeseRaw,manganese,manganeseIdentifier,nickelRaw,nickel,nickelIdentifier,leadRaw,lead,leadIdentifier,zincRaw,zinc,zincIdentifier,copperRaw,copper,copperIdentifier,geoid,geoid_type
C32,C-K-32 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,4074,4074.2924,Post-Transition Metal,4.015,4.0152677,Metalloid,93,92.996656,Alkaline Earth Metal,0.5016663,0.5017,Alkaline Earth Metal,1.9242131,1.924,Transitional Metal,12.165788,12.17,Transitional Metal,927.72173,927.7,Transitional Metal,8.6767251,8.677,Transitional Metal,238.49604,238.5,Post-Transition Metal,359.25484,359.3,Transitional Metal,188.26561,188.3,Transitional Metal,040030011002,block_group
C33,C-K-33 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,13490,13485.491,Post-Transition Metal,5.425,5.4251039,Metalloid,123.7,123.66927,Alkaline Earth Metal,1.1859223,1.186,Alkaline Earth Metal,0.5012771,0.5013,Transitional Metal,13.179167,13.18,Transitional Metal,428.02564,428,Transitional Metal,10.898994,10.9,Transitional Metal,28.801034,28.8,Post-Transition Metal,86.632254,86.63,Transitional Metal,64.761742,64.76,Transitional Metal,040030011002,block_group
C33,C-K-33 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,9056,9055.9703,Post-Transition Metal,4.681,4.6811249,Metalloid,130.8,130.79121,Alkaline Earth Metal,0.3953986,0.3954,Alkaline Earth Metal,0.5823729,0.5824,Transitional Metal,11.48797,11.49,Transitional Metal,348.60354,348.6,Transitional Metal,8.4782806,8.478,Transitional Metal,70.283385,70.28,Post-Transition Metal,164.12637,164.1,Transitional Metal,73.414847,73.41,Transitional Metal,040030011002,block_group
C36,C-K-36 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,2652,2652.3352,Post-Transition Metal,3.271,3.2705868,Metalloid,208.6,208.64118,Alkaline Earth Metal,0.2525921,0.2526,Alkaline Earth Metal,0.9984596,0.9985,Transitional Metal,11.460095,11.46,Transitional Metal,424.40159,424.4,Transitional Metal,5.1706175,5.171,Transitional Metal,70.380045,70.38,Post-Transition Metal,194.42804,194.4,Transitional Metal,255.37412,255.4,Transitional Metal,040030011003,block_group
C36,C-K-36 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,3415,3414.8854,Post-Transition Metal,5.026,5.0264993,Metalloid,190.2,190.22844,Alkaline Earth Metal,0.0989721,0.09897,Alkaline Earth Metal,1.4957309,1.496,Transitional Metal,15.191006,15.19,Transitional Metal,550.85335,550.9,Transitional Metal,6.4262322,6.426,Transitional Metal,96.861814,96.86,Post-Transition Metal,437.28224,437.3,Transitional Metal,644.3389,644.3,Transitional Metal,040030011003,block_group
C37,C-K-37 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,7224,7223.7314,Post-Transition Metal,1.913,1.9134896,Metalloid,112.2,112.22527,Alkaline Earth Metal,0.5461645,0.5462,Alkaline Earth Metal,0.0904116,0.09041,Transitional Metal,12.882352,12.88,Transitional Metal,325.70677,325.7,Transitional Metal,14.137527,14.14,Transitional Metal,7.0069486,7.007,Post-Transition Metal,59.485251,59.49,Transitional Metal,50.181531,50.18,Transitional Metal,040030011002,block_group
C38,C-K-38 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,3265,3265.2706,Post-Transition Metal,2.386,2.3859464,Metalloid,178.4,178.42586,Alkaline Earth Metal,0.312795,0.3128,Alkaline Earth Metal,0.5398162,0.5398,Transitional Metal,12.342498,12.34,Transitional Metal,248.06008,248.1,Transitional Metal,5.3398504,5.34,Transitional Metal,61.438008,61.44,Post-Transition Metal,176.87881,176.9,Transitional Metal,70.136025,70.14,Transitional Metal,040030010001,block_group
C38,C-K-38 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,5282,5281.7593,Post-Transition Metal,5.691,5.6905832,Metalloid,267.1,267.09549,Alkaline Earth Metal,0.8978294,0.8978,Alkaline Earth Metal,3.4855398,3.486,Transitional Metal,16.942727,16.94,Transitional Metal,446.17405,446.2,Transitional Metal,9.9967826,9.997,Transitional Metal,498.845,498.8,Post-Transition Metal,816.50039,816.5,Transitional Metal,289.39509,289.4,Transitional Metal,040030010001,block_group
C40,C-K-40 garden,Cochise,Garden Soil,2015-2016,,mg/kg,,3237,3237.1442,Post-Transition Metal,5.308,5.3078118,Metalloid,182.8,182.78308,Alkaline Earth Metal,0.1995663,0.1996,Alkaline Earth Metal,3.3180262,3.318,Transitional Metal,12.413983,12.41,Transitional Metal,728.19776,728.2,Transitional Metal,5.3796829,5.38,Transitional Metal,203.05748,203.1,Post-Transition Metal,739.3028,739.3,Transitional Metal,589.29529,589.3,Transitional Metal,040030011002,block_group
C40,C-K-40 yard,Cochise,Yard Soil,2015-2016,,mg/kg,,4119,4118.6287,Post-Transition Metal,8.193,8.1933987,Metalloid,220.1,220.13371,Alkaline Earth Metal,0.589785,0.5898,Alkaline Earth Metal,3.5528974,3.553,Transitional Metal,17.342551,17.34,Transitional Metal,784.39385,784.4,Transitional Metal,7.2253132,7.225,Transitional Metal,285.48715,285.5,Post-Transition Metal,855.00436,855,Transitional Metal,586.70639,586.7,Transitional Metal,040030011002,block_group
